Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Custom field (Actual Result),Custom field (Development),Custom field (Expected Result),Custom field (Goals),Custom field (Issue color),Custom field (Priority),Custom field (Rank),Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Status Category,Status Category Changed
Verify that the old password no longer works after a reset,DG-87,10361,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_57Preconditions:User has successfully reset their password to NewPass@5678.Test Steps:Navigate to the Login pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Faildue to TCUA_46,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000lr:,,,,,To Do,23/Apr/26 7:21 PM
Verify that a reset link cannot be used more than once,DG-86,10360,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_56Preconditions:User has already used the reset link to change their password.Test Steps:Click the already-used reset link from the emailTest Data:Previously used reset URLExpected Result:NoneActual Result:NoneStatus:Faildue to TCUA_46,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000lj:,,,,,To Do,23/Apr/26 7:21 PM
Verify that an expired reset link cannot be used,DG-85,10359,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_55Preconditions:A password reset email was received but the link has expired.Test Steps:Open the expired reset link from the emailTest Data:Expired reset URLExpected Result:NoneActual Result:NoneStatus:Faildue to TCUA_46,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000lb:,,,,,To Do,23/Apr/26 7:21 PM
Verify that an error is shown when an unregistered email is submitted,DG-84,10358,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_54Preconditions:The email notexist@test.com is not registered in the system.Test Steps:Enter an unregistered email in E-Mail Address fieldTest Data:notexist@test.comExpected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000l3:,,,,,To Do,23/Apr/26 7:21 PM
Verify that an error is shown when an invalid email format is entered,DG-83,10357,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_53Preconditions:User is on the Forgotten Password page.Test Steps:Enter an invalid email format in E-Mail Address fieldTest Data:invalidemailExpected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000kv:,,,,,To Do,23/Apr/26 7:21 PM
Verify that an error is shown when E-Mail Address field is empty,DG-82,10356,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_52Preconditions:User is on the Forgotten Password page.Test Steps:Leave the E-Mail Address field emptyTest Data:(empty)Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000kn:,,,,,To Do,23/Apr/26 7:21 PM
Verify that the user can log in with the new password after reset,DG-81,10355,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_51Preconditions:User has successfully reset their password to NewPass@5678.Test Steps:Navigate to the Login pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Faildue to TCUA_46,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000kf:,,,,,To Do,23/Apr/26 7:21 PM
Verify that a new password can be set using the reset link,DG-80,10354,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_50Preconditions:User has received a valid password reset email.Test Steps:Click the reset link in the emailTest Data:—Expected Result:NoneActual Result:NoneStatus:Faildue to TCUA_46,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000k7:,,,,,To Do,23/Apr/26 7:21 PM
Verify that the Forgotten Password page loads correctly with all elements visible,DG-79,10353,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,"Test ID: TCUA_49Preconditions:User is not logged in.Test Steps:Navigate to the Forgotten Password pageTest Data:—Expected Result:E-Mail Address field, Back button, Continue button, and page title all display correctly.Actual Result:E-Mail Address field, Back button, Continue button, and page title all display correctly.Status:Pass",,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000jz:,,,,,To Do,23/Apr/26 7:21 PM
Verify that the Back button navigates to the Login page,DG-78,10352,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_48Preconditions:User is on the Forgotten Password page.Test Steps:Navigate to the Forgotten Password pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000jr:,,,,,To Do,23/Apr/26 7:21 PM
Verify that the reset link navigates to the password reset page,DG-77,10351,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_47Preconditions:Password reset email has been received.Test Steps:Open the password reset emailTest Data:—Expected Result:NoneActual Result:NoneStatus:Faildue to TCUA_46,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000jj:,,,,,To Do,23/Apr/26 7:21 PM
Verify that the reset email is received in the inbox,DG-76,10350,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_46Preconditions:A valid registered email has been submitted on the Forgotten Password page.Test Steps:Submit a registered email and click ContinueTest Data:registered@test.comExpected Result:NoneActual Result:NoneStatus:Fail,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000jb:,,,,,To Do,23/Apr/26 7:21 PM
Verify that a reset link is sent when a registered email is submitted,DG-75,10349,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_45Preconditions:User is not logged in. User has a registered account.Test Steps:Navigate to the Forgotten Password pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000j3:,,,,,To Do,23/Apr/26 7:21 PM
Verify that clicking Back after registration does not allow re-submitting the form,DG-74,10348,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_44Preconditions:User has just registered a new account and is on the confirmation or dashboard page.Test Steps:Complete registration with valid dataTest Data:Email: newuser@test.com | Password: Test@1234Expected Result:NoneActual Result:NoneStatus:Fail,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000iv:,,,,,To Do,23/Apr/26 7:21 PM
Verify that clicking Back after logout does not restore the logged-in session,DG-73,10347,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_43Preconditions:User was logged in and has just logged out.Test Steps:Log in with valid credentialsTest Data:Email: registered@test.com | Password: Test@1234Expected Result:NoneActual Result:NoneStatus:Fail,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000in:,,,,,To Do,23/Apr/26 7:21 PM
Verify that clicking Back after login does not restore the logged-out session,DG-72,10346,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_42Preconditions:User was previously logged out and then logged in again.Test Steps:Log in with valid credentialsTest Data:Email: registered@test.com | Password: Test@1234Expected Result:NoneActual Result:NoneStatus:Fail,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000if:,,,,,To Do,23/Apr/26 7:21 PM
Verify that logout is completed successfully,DG-71,10345,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_41Preconditions:User is logged in with a registered account.Test Steps:Navigate to any page while logged inTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000i7:,,,,,To Do,23/Apr/26 7:21 PM
Verify that an error is shown when registering with an email that does not exist,DG-70,10344,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_40Preconditions:User is on the Register Account page.Test Steps:Navigate to the Register Account pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Fail,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000hz:,,,,,To Do,23/Apr/26 7:21 PM
Verify that the Register page loads correctly with all elements visible,DG-69,10343,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,"Test ID: TCUA_39Preconditions:User is not logged in.Test Steps:Navigate to the Register Account pageTest Data:—Expected Result:All fields, labels, radio buttons, checkbox, and Continue button display correctly with no UI issues.Actual Result:All fields, labels, radio buttons, checkbox, and Continue button display correctly with no UI issues.Status:Pass",,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000hr:,,,,,To Do,23/Apr/26 7:21 PM
Verify that the Privacy Policy link opens correctly,DG-68,10342,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_38Preconditions:User is on the Register Account page.Test Steps:Click the 'Privacy Policy' link at the bottom of the formTest Data:—Expected Result:Privacy Policy page or modal opens successfully.Actual Result:Privacy Policy page or modal opens successfully.Status:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000hj:,,,,,To Do,23/Apr/26 7:21 PM
Verify that subscribing to newsletter works correctly,DG-67,10341,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_37Preconditions:User is on the Register Account page.Test Steps:Select Yes for Newsletter SubscribeTest Data:YesExpected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000hb:,,,,,To Do,23/Apr/26 7:21 PM
Verify that matching Password and Confirm Password allows registration,DG-66,10340,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_36Preconditions:User is on the Register Account page.Test Steps:Enter Test@1234 in Password fieldTest Data:Test@1234Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000h3:,,,,,To Do,23/Apr/26 7:21 PM
Verify that the login page link navigates to the login page,DG-65,10339,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_35Preconditions:User is not logged in. Register page is open.Test Steps:Navigate to Register Account pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000gv:,,,,,To Do,23/Apr/26 7:21 PM
Verify that a user can register successfully with all valid data,DG-64,10338,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_34Preconditions:User is not logged in. No existing account with the test email.Test Steps:Navigate to Register Account pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000gn:,,,,,To Do,23/Apr/26 7:21 PM
Verify that SQL injection in the email field does not grant unauthorized access,DG-63,10337,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_33Preconditions:User is on the Login page.Test Steps:Enter SQL injection string in E-Mail Address fieldTest Data:' OR '1'='1Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000gf:,,,,,To Do,23/Apr/26 7:21 PM
Verify that the account is protected against brute force login attempts,DG-62,10336,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_32Preconditions:User is on the Login page.Test Steps:Enter registered@test.com in E-Mail Address fieldTest Data:registered@test.comExpected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000g7:,,,,,To Do,23/Apr/26 7:21 PM
Verify that an error is shown when password contains extra spaces,DG-61,10335,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_31Preconditions:User is on the Login page. The registered password does not contain spaces.Test Steps:Enter registered@test.com in E-Mail Address fieldTest Data:registered@test.comExpected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000fz:,,,,,To Do,23/Apr/26 7:21 PM
Verify that an error is shown when both fields are empty,DG-60,10334,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_30Preconditions:User is on the Login page.Test Steps:Leave both E-Mail Address and Password fields emptyTest Data:(empty)Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000fr:,,,,,To Do,23/Apr/26 7:21 PM
Verify that an error is shown when Password field is empty,DG-59,10333,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_29Preconditions:User is on the Login page.Test Steps:Enter a valid registered email in E-Mail Address fieldTest Data:registered@test.comExpected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000fj:,,,,,To Do,23/Apr/26 7:21 PM
Verify that an error is shown when E-Mail Address field is empty,DG-58,10332,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_28Preconditions:User is on the Login page.Test Steps:Leave E-Mail Address field emptyTest Data:(empty)Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000fb:,,,,,To Do,23/Apr/26 7:20 PM
Verify that an error is shown when email format is invalid,DG-57,10331,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_27Preconditions:User is on the Login page.Test Steps:Enter 'invalidemail' in E-Mail Address fieldTest Data:invalidemailExpected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000f3:,,,,,To Do,23/Apr/26 7:20 PM
Verify that an error is shown when logging in with an unregistered email,DG-56,10330,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_26Preconditions:The email notexist@test.com is not registered in the system.Test Steps:Enter notexist@test.com in E-Mail Address fieldTest Data:notexist@test.comExpected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000ev:,,,,,To Do,23/Apr/26 7:20 PM
Verify that an error is shown when logging in with a wrong password,DG-55,10329,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_25Preconditions:User has a registered account with email registered@test.com.Test Steps:Enter registered@test.com in E-Mail Address fieldTest Data:registered@test.comExpected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000en:,,,,,To Do,23/Apr/26 7:20 PM
Verify that the login page loads correctly with all elements visible,DG-54,10328,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,"Test ID: TCUA_24Preconditions:User is not logged in.Test Steps:Navigate to the Login pageTest Data:—Expected Result:Both panels (New Customer and Returning Customer) display correctly. All fields, labels, links, and buttons are visible.Actual Result:Both panels (New Customer and Returning Customer) display correctly. All fields, labels, links, and buttons are visible.Status:Pass",,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000ef:,,,,,To Do,23/Apr/26 7:20 PM
Verify that the password field masks the entered characters,DG-53,10327,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_23Preconditions:User is on the Login page.Test Steps:Click on the Password fieldTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000e7:,,,,,To Do,23/Apr/26 7:20 PM
Verify that logout clears the session completely,DG-52,10326,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_22Preconditions:User is logged in.Test Steps:Click the Logout option from the account menuTest Data:—Expected Result:NoneActual Result:NoneStatus:Fail,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000dz:,,,,,To Do,23/Apr/26 7:20 PM
Verify that a logged-in user is redirected away from the login page,DG-51,10325,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,"Test ID: TCUA_21Preconditions:User is already logged in.Test Steps:While logged in, navigate directly to the Login page URLTest Data:—Expected Result:User is redirected to the account dashboard or homepage. Login page is not shown to logged-in users.Actual Result:User is shown the login page despite being already logged in.Status:Fail",,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000dr:,,,,,To Do,23/Apr/26 7:20 PM
Verify that the user session persists after successful login,DG-50,10324,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_20Preconditions:User has a registered account. User is not logged in.Test Steps:Log in with valid credentialsTest Data:Email: registered@test.com | Password: Test@1234Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000dj:,,,,,To Do,23/Apr/26 7:20 PM
Verify that login succeeds when email is entered in uppercase,DG-49,10323,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:20 PM,23/Apr/26 7:20 PM,,,,0,Test ID: TCUA_19Preconditions:User is registered with email registered@test.com.Test Steps:Enter REGISTERED@TEST.COM in E-Mail Address fieldTest Data:REGISTERED@TEST.COMExpected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000db:,,,,,To Do,23/Apr/26 7:20 PM
